imo,name,ship_type,dwt,dwt_size_class,efficiency_grade,flag_registry,technical_efficiency,co2_total_t,co2_per_distance_kg_nm,in_mrv
9729893,PATROKLOS,Bulk carrier,81149.0,Panamax (60-100k),E,Monrovia,EEDI (3.61 gCO₂/t·nm),4553.7,332.6,True
9595876,CK BLUEBELL,Bulk carrier,81147.0,Panamax (60-100k),E,Jeju,EIV (5.88 gCO₂/t·nm),2858.7,381.7,True
9729881,DIONE,Bulk carrier,81145.0,Panamax (60-100k),E,Panama,EEDI (3.6 gCO₂/t·nm),4803.3,349.0,True
9849904,GOLDEN FREEZE,Bulk carrier,81135.0,Panamax (60-100k),E,Majuro,EEXI (3.51 gCO₂/t·nm),14257.1,329.3,True
9728801,CL ZHENJIANG,Bulk carrier,81121.0,Panamax (60-100k),E,Monrovia,EEXI (3.5 gCO₂/t·nm),2025.1,341.3,True
9673783,STAR NICOLE,Bulk carrier,81120.0,Panamax (60-100k),C,Monrovia,EEXI (3.26 gCO₂/t·nm),1639.5,260.6,True
9867176,JY LONDON,Bulk carrier,81118.0,Panamax (60-100k),D,Majuro,EEDI (3.64 gCO₂/t·nm),9660.8,310.0,True
9729879,AIANTAS,Bulk carrier,81111.0,Panamax (60-100k),D,Panama,EEDI (3.58 gCO₂/t·nm),3019.7,278.5,True
9768605,DARYA AUM,Bulk carrier,81109.0,Panamax (60-100k),D,Hong Kong,EEDI (3.73 gCO₂/t·nm),2276.4,279.0,True
9758583,HUA XING HAI,Bulk carrier,81108.0,Panamax (60-100k),D,Hong Kong,EEXI (3.5 gCO₂/t·nm),5740.4,301.9,True
9842736,TOMINI ROYALTY,Bulk carrier,81094.0,Panamax (60-100k),C,Majuro,Not Applicable,421.6,263.3,True
9718038,ETRON,Bulk carrier,81080.0,Panamax (60-100k),D,Monrovia,EEXI (3.5 gCO₂/t·nm),7088.9,309.5,True
9673836,ECHO.GR,Bulk carrier,81070.0,Panamax (60-100k),B,Valletta,EEXI (3.26 gCO₂/t·nm),4735.2,243.7,True
9731822,PEAK MATTERHORN,Bulk carrier,81060.0,Panamax (60-100k),C,Nassau,EEXI (3.19 gCO₂/t·nm),4819.1,274.1,True
9718026,TALIMEN,Bulk carrier,81056.0,Panamax (60-100k),E,Monrovia,EEXI (3.51 gCO₂/t·nm),51.0,1668.7,True
9855599,MAGIC ARIEL,Bulk carrier,81054.0,Panamax (60-100k),D,Majuro,EEXI (3.5 gCO₂/t·nm),3055.4,308.3,True
9796573,MEGA BENEFIT,Bulk carrier,81018.0,Panamax (60-100k),B,Panama,EEDI (3.3 gCO₂/t·nm),2012.0,220.2,True
9828297,ARIANA,Bulk carrier,81011.0,Panamax (60-100k),C,Nassau,EEXI (3.51 gCO₂/t·nm),3144.5,271.2,True
9726762,ROYAL HOPE,Bulk carrier,81011.0,Panamax (60-100k),C,Panama,EIV (3.62 gCO₂/t·nm),9052.0,276.0,True
9843405,KASTOR,Bulk carrier,80996.0,Panamax (60-100k),D,Monrovia,EEDI (3.85 gCO₂/t·nm),2654.1,292.2,True
9843417,POLYDEFKIS,Bulk carrier,80996.0,Panamax (60-100k),D,Monrovia,EEDI (3.7 gCO₂/t·nm),10597.8,303.3,True
9798844,HAMPTON OCEAN,Bulk carrier,80979.0,Panamax (60-100k),C,Panama,EEDI (3.28 gCO₂/t·nm),4362.5,270.4,True
9780134,SAKIZAYA HERO,Bulk carrier,80962.0,Panamax (60-100k),B,Panama,EEXI (3.22 gCO₂/t·nm),712.6,225.0,True
9474709,AGIOS MAKARIOS,Bulk carrier,80929.0,Panamax (60-100k),D,Valletta,EEXI (3.48 gCO₂/t·nm),2288.3,296.1,True
9880283,CL DAYANG HE,Bulk carrier,80860.0,Panamax (60-100k),E,Monrovia,EEXI (3.4 gCO₂/t·nm),9241.6,317.0,True
9880295,CL QINGSHUI HE,Bulk carrier,80860.0,Panamax (60-100k),D,Monrovia,EEXI (3.41 gCO₂/t·nm),8989.3,284.6,True
9842516,SM SANTOS,Bulk carrier,80857.0,Panamax (60-100k),E,Majuro,EEDI (3.7 gCO₂/t·nm),8563.0,312.6,True
9847889,SEACON SHANGHAI,Bulk carrier,80811.0,Panamax (60-100k),C,Monrovia,EEDI (3.68 gCO₂/t·nm),2894.0,269.6,True
9837145,HESSAH,Bulk carrier,80729.0,Panamax (60-100k),B,Dammam,EEDI (3.53 gCO₂/t·nm),4679.4,242.2,True
9457464,STAR GENESIS,Bulk carrier,80705.0,Panamax (60-100k),E,Majuro,EEXI (3.51 gCO₂/t·nm),8897.1,370.6,True
9837121,ALANOOD,Bulk carrier,80681.0,Panamax (60-100k),E,Dammam,EEDI (3.44 gCO₂/t·nm),5797.3,339.6,True
9858527,SOUTHERN HAWK,Bulk carrier,80681.0,Panamax (60-100k),C,Singapore,EEXI (3.26 gCO₂/t·nm),2967.5,263.8,True
9454280,CHAILEASE VIRTUE,Bulk carrier,80647.0,Panamax (60-100k),D,Monrovia,EEXI (3.51 gCO₂/t·nm),12011.7,302.5,True
9860128,GOLDEN FURIOUS,Bulk carrier,80595.0,Panamax (60-100k),E,Majuro,EEXI (3.51 gCO₂/t·nm),9455.8,317.1,True
9860116,GOLDEN FAST,Bulk carrier,80573.0,Panamax (60-100k),D,Majuro,EEXI (3.51 gCO₂/t·nm),10073.7,295.8,True
9579638,NEW ENDEAVOR,Bulk carrier,80536.0,Panamax (60-100k),E,Panama,EEXI (3.52 gCO₂/t·nm),1502.7,337.2,True
9460772,WADI ALYARMOUK,Bulk carrier,80384.0,Panamax (60-100k),E,Alexandria,EIV (6.63 gCO₂/t·nm),2021.2,376.6,True
9543885,SPETSES SPIRIT,Bulk carrier,80328.0,Panamax (60-100k),E,Majuro,EEXI (3.38 gCO₂/t·nm),2805.2,382.8,True
9582116,EPIPHANIA,Bulk carrier,80276.0,Panamax (60-100k),E,Nassau,EEXI (3.52 gCO₂/t·nm),6921.7,339.4,True
9527441,CHRYSANTHI S,Bulk carrier,80268.0,Panamax (60-100k),E,Monrovia,EEXI (3.52 gCO₂/t·nm),1616.6,403.8,True
9452610,ORNAK,Bulk carrier,79677.0,Panamax (60-100k),E,Nassau,EEXI (3.53 gCO₂/t·nm),10112.0,377.0,True
9452608,JAWOR,Bulk carrier,79649.0,Panamax (60-100k),E,Nassau,EEXI (3.53 gCO₂/t·nm),12608.8,338.0,True
9452593,GIEWONT,Bulk carrier,79649.0,Panamax (60-100k),E,Nassau,EEXI (3.53 gCO₂/t·nm),8479.6,383.9,True
9490466,UNITY N,Bulk carrier,79642.0,Panamax (60-100k),E,Majuro,EEXI (3.53 gCO₂/t·nm),4679.0,364.4,True
9452622,RYSY,Bulk carrier,79602.0,Panamax (60-100k),E,Nassau,EEXI (3.53 gCO₂/t·nm),13135.1,315.0,True
9579743,BLACK PEARL,Bulk carrier,79600.0,Panamax (60-100k),E,Majuro,EEXI (3.53 gCO₂/t·nm),4451.9,374.1,True
9617430,CAPTAIN J. NEOFOTISTOS,Bulk carrier,79501.0,Panamax (60-100k),E,Monrovia,EEXI (3.54 gCO₂/t·nm),2353.3,326.3,True
9481477,CAPE GRECO,Bulk carrier,79471.0,Panamax (60-100k),E,Monrovia,EEDI (4.39 gCO₂/t·nm),5138.8,362.8,True
9566813,DART TRADER,Bulk carrier,79467.0,Panamax (60-100k),E,Monrovia,EEXI (3.54 gCO₂/t·nm),23.7,550.2,True
9481489,NEW EXPLORER,Bulk carrier,79448.0,Panamax (60-100k),E,Monrovia,EEXI (3.54 gCO₂/t·nm),3749.3,423.3,True
9491173,KIRAN AFRICA,Bulk carrier,79105.0,Panamax (60-100k),E,Valletta,EIV (1.43 gCO₂/t·nm),3410.1,379.7,True
9474670,MAIRINI,Bulk carrier,79023.0,Panamax (60-100k),D,Majuro,EIV (6.5 gCO₂/t·nm),2191.8,306.6,True
9370197,CASTOR,Bulk carrier,78888.0,Panamax (60-100k),C,Monrovia,EEXI (3.55 gCO₂/t·nm),3855.5,257.6,True
9425679,SUPER NOVA,Bulk carrier,78833.0,Panamax (60-100k),E,Majuro,EEXI (3.55 gCO₂/t·nm),9701.1,316.4,True
9840673,OCEAN LEGEND,Bulk carrier,78208.0,Panamax (60-100k),B,Hong Kong,EEXI (3.54 gCO₂/t·nm),4237.1,228.7,True
9639684,KOULITSA 2,Bulk carrier,78129.0,Panamax (60-100k),C,Limassol,EIV (3.86 gCO₂/t·nm),7066.5,269.1,True
9717424,KYPROS LOYALTY,Bulk carrier,77998.0,Panamax (60-100k),D,Limassol,EIV (3.7 gCO₂/t·nm),1399.5,281.7,True
9694490,KYPROS BRAVERY,Bulk carrier,77997.0,Panamax (60-100k),B,Limassol,EEDI (3.74 gCO₂/t·nm),1841.6,242.6,True
9675468,SASEBO GREEN,Bulk carrier,77880.0,Panamax (60-100k),B,Mjuro,EEXI (3.57 gCO₂/t·nm),4570.9,241.4,True
9733600,GREAT TRIUMPH,Bulk carrier,77835.0,Panamax (60-100k),D,Hong Kong,EEXI (3.38 gCO₂/t·nm),4575.5,284.8,True
9317470,TIANA,Bulk carrier,77283.0,Panamax (60-100k),C,Majuro,EEXI (3.58 gCO₂/t·nm),3756.9,264.3,True
9355484,MAHA AARTI,Bulk carrier,77250.0,Panamax (60-100k),D,Mumbai,EIV (4.13 gCO₂/t·nm),2421.9,284.8,True
9609512,KING MILO,Bulk carrier,77198.0,Panamax (60-100k),D,Panama,EIV (4.43 gCO₂/t·nm),7174.4,299.1,True
9317468,NEFELI,Bulk carrier,77171.0,Panamax (60-100k),C,Limassol,EEDI (3.59 gCO₂/t·nm),1538.4,257.5,True
9710799,VELOS LIBRA,Bulk carrier,77134.0,Panamax (60-100k),C,Majuro,EEXI (3.59 gCO₂/t·nm),5484.1,272.4,True
9691589,BULK SWEDEN,Bulk carrier,77126.0,Panamax (60-100k),C,Madeira,EEXI (3.42 gCO₂/t·nm),6145.6,267.8,True
9738791,ANDERMATT,Bulk carrier,77113.0,Panamax (60-100k),C,Monrovia,EEXI (3.36 gCO₂/t·nm),3688.3,249.5,True
9304083,CLARA B,Bulk carrier,77073.0,Panamax (60-100k),D,Monrovia,EIV (3.9 gCO₂/t·nm),6811.0,289.4,True
9314624,G. B. CORRADO,Bulk carrier,77061.0,Panamax (60-100k),C,Nassau,EEXI (3.59 gCO₂/t·nm),13746.1,277.5,True
9667368,KYPROS LAND,Bulk carrier,77060.0,Panamax (60-100k),C,Limassol,EEXI (3.42 gCO₂/t·nm),5504.0,250.7,True
9330329,OMICRON SKY,Bulk carrier,77031.0,Panamax (60-100k),E,Monrovia,EEXI (3.59 gCO₂/t·nm),4258.7,321.0,True
9335989,LUCKY GLORY 2,Bulk carrier,76942.0,Panamax (60-100k),D,Panama,EEXI (3.59 gCO₂/t·nm),2908.6,280.1,True
9691400,MAGIC MARS,Bulk carrier,76822.0,Panamax (60-100k),E,Majuro,EEXI (3.59 gCO₂/t·nm),5572.6,314.1,True
9304277,OMICRON TITINA,Bulk carrier,76806.0,Panamax (60-100k),E,Monrovia,EEXI (3.6 gCO₂/t·nm),1588.3,315.6,True
9294484,MINOAN DIGNITY,Bulk carrier,76801.0,Panamax (60-100k),E,Monrovia,EEXI (3.6 gCO₂/t·nm),1759.7,349.5,True
9304241,GOOD HOPE MAX,Bulk carrier,76739.0,Panamax (60-100k),E,Douglas,EEXI (3.6 gCO₂/t·nm),5612.5,325.3,True
9443009,TORO,Bulk carrier,76636.0,Panamax (60-100k),C,Majuro,EEXI (3.6 gCO₂/t·nm),3151.9,255.3,True
